# BEGIN DATA
# Process=pp -> vv~j
# Proc=vvj
# Sqrt=13 TeV
# Unit=pb/GeV
# Timestamp=2019-05-03 18:52:10
# END DATA

# BEGIN HISTO1D vvj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.400000e+03 1.600000e+03 1.031249e+00 4.281756e-05 4.281756e-05
1.600000e+03 1.800000e+03 1.033640e+00 5.932213e-05 5.932213e-05
1.800000e+03 2.000000e+03 1.036082e+00 7.939491e-05 7.939491e-05
2.000000e+03 2.200000e+03 1.038593e+00 2.128173e-05 2.128173e-05
2.200000e+03 2.400000e+03 1.041178e+00 2.594010e-05 2.594010e-05
2.400000e+03 2.600000e+03 1.043834e+00 3.359718e-05 3.359718e-05
2.600000e+03 2.800000e+03 1.046568e+00 4.414216e-05 4.414216e-05
2.800000e+03 3.000000e+03 1.049384e+00 5.842128e-05 5.842128e-05
3.000000e+03 6.500000e+03 1.053749e+00 5.727367e-05 5.727367e-05
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.118738e-01 4.513104e-05 4.513104e-05
4.000000e+01 5.000000e+01 1.099339e-01 4.595528e-05 4.595528e-05
5.000000e+01 6.000000e+01 1.081558e-01 5.132347e-05 5.132347e-05
6.000000e+01 7.000000e+01 1.065184e-01 5.812269e-05 5.812269e-05
7.000000e+01 8.000000e+01 1.050152e-01 6.563848e-05 6.563848e-05
8.000000e+01 9.000000e+01 1.036330e-01 5.532511e-05 5.532511e-05
9.000000e+01 1.000000e+02 1.023597e-01 5.230628e-05 5.230628e-05
1.000000e+02 1.100000e+02 1.011867e-01 5.592806e-05 5.592806e-05
1.100000e+02 1.200000e+02 1.001008e-01 6.034434e-05 6.034434e-05
1.200000e+02 1.300000e+02 9.909056e-02 6.526375e-05 6.526375e-05
1.300000e+02 1.400000e+02 9.815385e-02 7.054989e-05 7.054989e-05
1.400000e+02 1.500000e+02 9.728416e-02 7.613295e-05 7.613295e-05
1.500000e+02 2.000000e+02 9.991491e-02 4.056344e-05 4.056344e-05
2.000000e+02 2.500000e+02 1.149626e-01 5.724178e-05 5.724178e-05
2.500000e+02 3.000000e+02 1.265227e-01 7.671053e-05 7.671053e-05
3.000000e+02 3.500000e+02 1.358300e-01 2.752665e-05 2.752665e-05
3.500000e+02 4.000000e+02 1.435823e-01 3.110066e-05 3.110066e-05
4.000000e+02 4.500000e+02 1.502193e-01 3.693115e-05 3.693115e-05
4.500000e+02 5.000000e+02 1.560200e-01 4.365051e-05 4.365051e-05
5.000000e+02 5.500000e+02 1.611810e-01 5.115673e-05 5.115673e-05
5.500000e+02 6.000000e+02 1.658367e-01 5.946051e-05 5.946051e-05
6.000000e+02 6.500000e+02 1.700952e-01 4.553877e-05 4.553877e-05
6.500000e+02 7.000000e+02 1.740294e-01 4.780390e-05 4.780390e-05
7.000000e+02 7.500000e+02 1.776990e-01 5.285610e-05 5.285610e-05
7.500000e+02 8.000000e+02 1.811479e-01 5.870555e-05 5.870555e-05
8.000000e+02 8.500000e+02 1.844115e-01 6.537609e-05 6.537609e-05
8.500000e+02 9.000000e+02 1.875287e-01 7.267490e-05 7.267490e-05
9.000000e+02 9.500000e+02 1.905187e-01 8.059738e-05 8.059738e-05
9.500000e+02 1.000000e+03 1.934017e-01 8.938552e-05 8.938552e-05
1.000000e+03 1.100000e+03 1.973255e-01 3.192376e-05 3.192376e-05
1.100000e+03 1.200000e+03 2.026501e-01 3.540961e-05 3.540961e-05
1.200000e+03 1.300000e+03 2.077637e-01 4.126633e-05 4.126633e-05
1.300000e+03 1.400000e+03 2.127302e-01 4.840069e-05 4.840069e-05
1.400000e+03 1.600000e+03 2.193164e-01 4.281756e-05 4.281756e-05
1.600000e+03 1.800000e+03 2.288206e-01 5.932213e-05 5.932213e-05
1.800000e+03 2.000000e+03 2.381702e-01 7.939491e-05 7.939491e-05
2.000000e+03 2.200000e+03 2.474619e-01 2.128173e-05 2.128173e-05
2.200000e+03 2.400000e+03 2.567250e-01 2.594010e-05 2.594010e-05
2.400000e+03 2.600000e+03 2.659789e-01 3.359718e-05 3.359718e-05
2.600000e+03 2.800000e+03 2.751989e-01 4.414216e-05 4.414216e-05
2.800000e+03 3.000000e+03 2.843535e-01 5.842128e-05 5.842128e-05
3.000000e+03 6.500000e+03 2.979530e-01 5.727367e-05 5.727367e-05
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.113982e-01 -4.493918e-05 -4.493918e-05
4.000000e+01 5.000000e+01 -1.091044e-01 -4.560853e-05 -4.560853e-05
5.000000e+01 6.000000e+01 -1.068834e-01 -5.071967e-05 -5.071967e-05
6.000000e+01 7.000000e+01 -1.047185e-01 -5.714057e-05 -5.714057e-05
7.000000e+01 8.000000e+01 -1.026073e-01 -6.413343e-05 -6.413343e-05
8.000000e+01 9.000000e+01 -1.005402e-01 -5.367400e-05 -5.367400e-05
9.000000e+01 1.000000e+02 -9.850871e-02 -5.033841e-05 -5.033841e-05
1.000000e+02 1.100000e+02 -9.650751e-02 -5.334179e-05 -5.334179e-05
1.100000e+02 1.200000e+02 -9.452685e-02 -5.698416e-05 -5.698416e-05
1.200000e+02 1.300000e+02 -9.255861e-02 -6.096163e-05 -6.096163e-05
1.300000e+02 1.400000e+02 -9.060355e-02 -6.512297e-05 -6.512297e-05
1.400000e+02 1.500000e+02 -8.865819e-02 -6.938242e-05 -6.938242e-05
1.500000e+02 2.000000e+02 -8.981116e-02 -3.646152e-05 -3.646152e-05
2.000000e+02 2.500000e+02 -9.507720e-02 -4.734050e-05 -4.734050e-05
2.500000e+02 3.000000e+02 -9.391379e-02 -5.693977e-05 -5.693977e-05
3.000000e+02 3.500000e+02 -8.812385e-02 -1.785875e-05 -1.785875e-05
3.500000e+02 4.000000e+02 -7.903611e-02 -1.711963e-05 -1.711963e-05
4.000000e+02 4.500000e+02 -6.769541e-02 -1.664279e-05 -1.664279e-05
4.500000e+02 5.000000e+02 -5.491905e-02 -1.536498e-05 -1.536498e-05
5.000000e+02 5.500000e+02 -4.134381e-02 -1.312199e-05 -1.312199e-05
5.500000e+02 6.000000e+02 -2.744884e-02 -9.841740e-06 -9.841740e-06
6.000000e+02 6.500000e+02 -1.358588e-02 -3.637282e-06 -3.637282e-06
6.500000e+02 7.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
7.000000e+02 7.500000e+02 1.314486e-02 3.909904e-06 3.909904e-06
7.500000e+02 8.000000e+02 2.574691e-02 8.343936e-06 8.343936e-06
8.000000e+02 8.500000e+02 3.775011e-02 1.338287e-05 1.338287e-05
8.500000e+02 9.000000e+02 4.913417e-02 1.904146e-05 1.904146e-05
9.000000e+02 9.500000e+02 5.989938e-02 2.533995e-05 2.533995e-05
9.500000e+02 1.000000e+03 7.006250e-02 3.238117e-05 3.238117e-05
1.000000e+03 1.100000e+03 8.010929e-02 1.296026e-05 1.296026e-05
1.100000e+03 1.200000e+03 9.775620e-02 1.708121e-05 1.708121e-05
1.200000e+03 1.300000e+03 1.135031e-01 2.254416e-05 2.254416e-05
1.300000e+03 1.400000e+03 1.276381e-01 2.904041e-05 2.904041e-05
1.400000e+03 1.600000e+03 1.415316e-01 2.763148e-05 2.763148e-05
1.600000e+03 1.800000e+03 1.639913e-01 4.251503e-05 4.251503e-05
